,Marca,Modelo,Tamaño de la pantalla,Tipo de resolución,Tipo de pantalla,Frecuencia de actualización,Precio,Link
0,Philips,271E1SCA/55,"27 """,FHD,LCD,75 Hz,185999,https://www.mercadolibre.com.ar/monitor-gamer-philips-27-curvo-271e1sca55/p/MLA19820268?pdp_filters=category:MLA14407#searchVariation=MLA19820268&position=4&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
1,Samsung,F24T35,"24 """,FHD,LED,75 Hz,86999,https://www.mercadolibre.com.ar/monitor-gamer-samsung-f24t35-led-24-azul-y-gris-oscuro-100v240v/p/MLA17360590?pdp_filters=category:MLA14407#searchVariation=MLA17360590&position=5&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
2,Samsung,F22T35,"22 """,FHD,LED,75 Hz,75999,https://www.mercadolibre.com.ar/monitor-gamer-samsung-f22t35-led-22-dark-blue-gray-100v240v/p/MLA17395574?pdp_filters=category:MLA14407#searchVariation=MLA17395574&position=6&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
3,Noblex,MK24X7100,"23.8 """,FHD,LED,75 Hz,66990,https://www.mercadolibre.com.ar/monitor-led-noblex-mk24x7100-238-full-hd-panel-va-antiglare-negro-220v/p/MLA19374030?pdp_filters=category:MLA14407#searchVariation=MLA19374030&position=7&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
4,Philips,221V8,"21.5 """,FHD,LCD,75 Hz,51499,https://www.mercadolibre.com.ar/monitor-gamer-philips-v-221v8-lcd-215-negro-100v240v/p/MLA18606777?pdp_filters=category:MLA14407#searchVariation=MLA18606777&position=8&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
5,Philips,241V8L/77,"24 """,FHD,LCD,75 Hz,69995,https://www.mercadolibre.com.ar/monitor-philips-led-24-pulgadas-241v8l77-hdmi-vga/p/MLA19609988?pdp_filters=category:MLA14407#searchVariation=MLA19609988&position=9&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
6,Philips,193V5LSB2,"18.5 """,FHD,LED,60 Hz,46899,https://www.mercadolibre.com.ar/monitor-philips-v-193v5lsb2-led-185-negro-100v240v/p/MLA10273908?pdp_filters=category:MLA14407#searchVariation=MLA10273908&position=10&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
7,Philips,193V5LHSB2,"18.5 """,WXGA,LCD,60 Hz,46899,https://www.mercadolibre.com.ar/monitor-philips-v-193v5lhsb2-lcd-185-negro-100v240v/p/MLA18613339?pdp_filters=category:MLA14407#searchVariation=MLA18613339&position=11&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
8,Asus,VA24EHE,"23.8 """,FHD,LED,75 Hz,112984,https://www.mercadolibre.com.ar/asus-va24e-va24ehe-238-negro-100v240v/p/MLA17006911?pdp_filters=category:MLA14407#searchVariation=MLA17006911&position=12&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
9,LG,19M38A,"19 """,HD,LED,60 Hz,51799,https://www.mercadolibre.com.ar/monitor-lg-19m38a-led-19-negro-100v240v/p/MLA15175508?pdp_filters=category:MLA14407#searchVariation=MLA15175508&position=13&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
10,Dell,E2220H,"21.5 """,FHD,LED,60 Hz,125999,https://www.mercadolibre.com.ar/monitor-dell-e-series-e2220h-led-215-negro-100v240v/p/MLA17004430?pdp_filters=category:MLA14407#searchVariation=MLA17004430&position=14&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
11,LG,24MK430H,"23.8 """,FHD,LED,75 Hz,71499,https://www.mercadolibre.com.ar/monitor-gamer-lg-24mk430h-led-238-negro-100v240v/p/MLA15123398?pdp_filters=category:MLA14407#searchVariation=MLA15123398&position=15&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
12,LG,20MK400H,"19.5 """,WXGA,LED,60 Hz,56499,https://www.mercadolibre.com.ar/monitor-gamer-lg-20mk400h-led-195-negro-100v240v/p/MLA15121865?pdp_filters=category:MLA14407#searchVariation=MLA15121865&position=16&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
13,Philips,272V8LA/55,"27 """,FHD,LCD,75 Hz,99999,https://www.mercadolibre.com.ar/monitor-philips-v-272v8la55-lcd-27-negro-100v240v/p/MLA18928640?pdp_filters=category:MLA14407#searchVariation=MLA18928640&position=17&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
14,LG,27UL500,"27 """,UHD 4K,LED,60 Hz,219000,https://www.mercadolibre.com.ar/monitor-gamer-lg-27ul500-led-27-blanco-100v240v/p/MLA15461390?pdp_filters=category:MLA14407#searchVariation=MLA15461390&position=18&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
15,LG,27MK400H,"27 """,FHD,LED,60 Hz,94449,https://www.mercadolibre.com.ar/lg-27mk400h-27-negro-100v240v/p/MLA15123021?pdp_filters=category:MLA14407#searchVariation=MLA15123021&position=19&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
17,BenQ,GW2780,"27 """,FHD,LED,60 Hz,169999,https://www.mercadolibre.com.ar/monitor-benq-gw2780-led-27-negro-100v240v/p/MLA16550884?pdp_filters=category:MLA14407#searchVariation=MLA16550884&position=21&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
18,LG,26WQ500,"25.7 """,Ultrawide FHD,LCD,75 Hz,118999,https://www.mercadolibre.com.ar/monitor-gamer-lg-ultrawide-26wq500-lcd-257-negro-100v240v/p/MLA19672074?pdp_filters=category:MLA14407#searchVariation=MLA19672074&position=22&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
19,Samsung,LF22T350FHLCZB,"22 """,FHD,LED,75 Hz,65317,https://articulo.mercadolibre.com.ar/MLA-1250128669-monitor-gamer-led-22-fullhd-ips-75hz-samsung-lf22t350fhlczb-_JM?searchVariation=175830368018#searchVariation=175830368018&position=50&search_layout=grid&type=item&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
20,Samsung,LF24T350FHLCZB,"24 """,FHD,LED,75 Hz,78897,https://articulo.mercadolibre.com.ar/MLA-1341059219-monitor-gamer-led-24-fullhd-ips-75hz-samsung-lf24t350fhlczb-_JM?searchVariation=176569830357#searchVariation=176569830357&position=51&search_layout=grid&type=item&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
21,Asus,VA27EHE,"27 """,FHD,LED,75 Hz,141133,https://www.mercadolibre.com.ar/monitor-gamer-asus-eye-care-va27ehe-led-27-negro-100v240v/p/MLA16550876?pdp_filters=category:MLA14407#searchVariation=MLA16550876&position=23&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
22,Samsung,C24RG5,"23.5 """,FHD,LCD,144 Hz,161999,https://www.mercadolibre.com.ar/monitor-gamer-curvo-samsung-c24rg5-lcd-235-negro-100v240v/p/MLA18928336?pdp_filters=category:MLA14407#searchVariation=MLA18928336&position=24&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
24,ViewSonic,VX2418-P-MHD,"24 """,FHD,LED,165 Hz,137999,https://www.mercadolibre.com.ar/monitor-gamer-24-viewsonic-fhd-165hz-vx2418-p-mhd-pcreg/p/MLA19802214?pdp_filters=category:MLA14407#searchVariation=MLA19802214&position=26&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
25,LG,32MN500M,"31.5 """,FHD,LED,75 Hz,152999,https://www.mercadolibre.com.ar/monitor-gamer-lg-32mn500m-led-315-negro-100v240v/p/MLA16550874?pdp_filters=category:MLA14407#searchVariation=MLA16550874&position=27&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
26,Gigabyte,G27FC,"27 """,FHD,LED,165 Hz,174999,https://www.mercadolibre.com.ar/monitor-gamer-curvo-gigabyte-g27fc-led-27-negro-100v240v/p/MLA18449737?pdp_filters=category:MLA14407#searchVariation=MLA18449737&position=28&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
27,AOC,G2790VX,"27 """,FHD,LCD TFT,144 Hz,161999,https://www.mercadolibre.com.ar/monitor-aoc-g2790vx-27-negrorojo-100v240v/p/MLA19790991?pdp_filters=category:MLA14407#searchVariation=MLA19790991&position=29&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
28,Daewoo,DW-MON19,"19 """,HD,LED,60 Hz,49999,https://www.mercadolibre.com.ar/monitor-daewoo-dw-mon19-led-19-negro-100v240v/p/MLA18621638?pdp_filters=category:MLA14407#searchVariation=MLA18621638&position=30&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
29,Samsung,S27A70,"27 """,UHD 4K,LCD,60 Hz,286280,https://www.mercadolibre.com.ar/monitor-gamer-samsung-s27a70-lcd-27-negro-100v240v/p/MLA19102307?pdp_filters=category:MLA14407#searchVariation=MLA19102307&position=31&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
30,LG,24GN600,"24 """,FHD,LED,144 Hz,185228,https://www.mercadolibre.com.ar/monitor-gamer-lg-ultragear-24gn600-led-24-negro-100v240v/p/MLA18207798?pdp_filters=category:MLA14407#searchVariation=MLA18207798&position=32&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
31,Noblex,MK22X7100,"21.45 """,FHD,LED,75 Hz,55999,https://www.mercadolibre.com.ar/monitor-led-noblex-mk22x7100-2145-full-hd-panel-va-antiglare/p/MLA19223458?pdp_filters=category:MLA14407#searchVariation=MLA19223458&position=33&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
32,BenQ,GW2480,"24 """,FHD,LED,60 Hz,145999,https://www.mercadolibre.com.ar/benq-gw2480-24-negro-100v240v/p/MLA17325343?pdp_filters=category:MLA14407#searchVariation=MLA17325343&position=34&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
33,Philips,241V8L/55,"24 """,FHD,LCD,75 Hz,73999,https://www.mercadolibre.com.ar/monitor-gamer-philips-v-241v8l55-lcd-24-negro-100v240v/p/MLA19599874?pdp_filters=category:MLA14407#searchVariation=MLA19599874&position=35&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
34,Level Up,27-UP6580,"27 """,FHD,LED,165 Hz,153999,https://www.mercadolibre.com.ar/monitor-gamer-level-up-27-up6580-led-27-negro-110v220v/p/MLA18526986?pdp_filters=category:MLA14407#searchVariation=MLA18526986&position=36&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
36,Noblex,MK27X7100,"27 """,FHD,LED,75 Hz,117259,https://www.mercadolibre.com.ar/monitor-led-noblex-mk27x7100-27-full-hd-panel-va-antiglare-negro-220v/p/MLA19374031?pdp_filters=category:MLA14407#searchVariation=MLA19374031&position=38&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
37,Daewoo,DW-MON22,"22 """,FHD,LED,60 Hz,96249,https://www.mercadolibre.com.ar/monitor-daewoo-dw-mon22-led-22-negro-220v/p/MLA19790997?pdp_filters=category:MLA14407#searchVariation=MLA19790997&position=39&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
38,AOC,G2790VX,"27 """,FHD,LED,144 Hz,169999,https://www.mercadolibre.com.ar/monitor-gamer-aoc-g2790vx-27/p/MLA21049326?pdp_filters=category:MLA14407#searchVariation=MLA21049326&position=40&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
39,Asus,VP228HE,"21.5 """,FHD,LED,60 Hz,58999,https://www.mercadolibre.com.ar/monitor-gamer-asus-vp228he-led-215-negro-100v240v/p/MLA15121685?pdp_filters=category:MLA14407#searchVariation=MLA15121685&position=41&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
40,Asus,VP249QGR,"23.8 """,FHD,LED,144 Hz,174999,https://www.mercadolibre.com.ar/asus-gaming-vp249qgr-238-negro-100v240v/p/MLA17006913?pdp_filters=category:MLA14407#searchVariation=MLA17006913&position=42&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
41,Redragon,GM3CS27,"27 """,FHD,LED,165 Hz,188990,https://www.mercadolibre.com.ar/redragon-jade-gm3cs27-27-negro-100v240v/p/MLA17187343?pdp_filters=category:MLA14407#searchVariation=MLA17187343&position=43&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
42,Hikvision,DS-D5027FN,"27 """,FHD,LED,60 Hz,103368,https://www.mercadolibre.com.ar/monitor-led-hikvision-ds-d5027fn-27-full-hd-vga-hdmi/p/MLA21326738?pdp_filters=category:MLA14407#searchVariation=MLA21326738&position=44&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
43,Philips,271E1SCA/55,"27 """,FHD,LED,60 Hz,135000,https://www.mercadolibre.com.ar/monitor-gamer-curvo-va-27-pulgadas-philips-271e1sca-freesync/p/MLA23302614?pdp_filters=category:MLA14407#searchVariation=MLA23302614&position=45&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
44,Level Up,24-UP5500,"24 """,FHD,LED,144 Hz,120999,https://www.mercadolibre.com.ar/monitor-gamer-24-pulgadas-level-up-full-hd-144hz-1ms-24-up5500/p/MLA20024604?pdp_filters=category:MLA14407#searchVariation=MLA20024604&position=46&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
45,Samsung,G3,"27 """,FHD,LED,144 Hz,204999,https://www.mercadolibre.com.ar/monitor-samsung-gamer-g3-27ag30-27-fhd-144-hz-plano-negro/p/MLA19678235?pdp_filters=category:MLA14407#searchVariation=MLA19678235&position=47&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
46,Samsung,F27T350FHL,"27 """,FHD,LED,75 Hz,129999,https://www.mercadolibre.com.ar/monitor-gamer-samsung-f27t350fhl-led-27-dark-blue-gray-100v240v/p/MLA17864777?pdp_filters=category:MLA14407#searchVariation=MLA17864777&position=48&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
47,Gfast,T-220,"21.5 """,FHD,LED,60 Hz,52676,https://www.mercadolibre.com.ar/monitor-led-gfast-215-t-220-60hz-full-hd-hdmi-1080p/p/MLA19828581?pdp_filters=category:MLA14407#searchVariation=MLA19828581&position=49&search_layout=grid&type=product&tracking_id=a5ec783c-f400-4709-8779-5f756d83ca74
48,Philips,241V8L/77,"24 """,FHD,LCD,75 Hz,58489,https://articulo.mercadolibre.com.ar/MLA-1388430550-monitor-gamer-led-24-pulgadas-philips-hdmi-full-hd-75hz-_JM?searchVariation=177574295813#searchVariation=177574295813&position=27&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
50,Philips,221V8,"21.5 """,FHD,LED,75 Hz,71399,https://articulo.mercadolibre.com.ar/MLA-821006631-monitor-gamer-led-22-pulgadas-philips-full-hd-hdmi-1080p-_JM?searchVariation=45170965344#searchVariation=45170965344&position=29&search_layout=grid&type=item&tracking_id=298f4ff9-13f2-4153-98c2-d92c137b035c
